date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,code_desc,station_clean,code_red
2022-01-01T00:00:00Z,15:59,Saturday,LAWRENCE EAST STATION,SRDP,0,0,N,SRT,3023,Disorderly Patron,LAWRENCE,Disorderly
2022-01-01T00:00:00Z,02:23,Saturday,SPADINA BD STATION,MUIS,0,0,NA,BD,0,Injured or ill Customer (In Station) - Transported,SPADINA,Injured
2022-01-01T00:00:00Z,22:00,Saturday,KENNEDY SRT STATION TO,MRO,0,0,NA,SRT,0,Miscellaneous Other,KENNEDY,Miscellaneous
2022-01-01T00:00:00Z,02:28,Saturday,VAUGHAN MC STATION,MUIS,0,0,NA,YU,0,Injured or ill Customer (In Station) - Transported,VAUGHAN,Injured
2022-01-01T00:00:00Z,02:34,Saturday,EGLINTON STATION,MUATC,0,0,S,YU,5981,ATC Project,EGLINTON,ATC
2022-01-01T00:00:00Z,05:40,Saturday,QUEEN STATION,MUNCA,0,0,NA,YU,0,NA,QUEEN,NA
2022-01-01T00:00:00Z,06:56,Saturday,DAVISVILLE STATION,MUNCA,0,0,NA,YU,0,NA,DAVISVILLE,NA
2022-01-01T00:00:00Z,06:58,Saturday,ST PATRICK STATION,MUNCA,0,0,NA,YU,0,NA,ST PATRICK,NA
2022-01-01T00:00:00Z,07:01,Saturday,PAPE STATION,MUNCA,0,0,NA,BD,0,NA,PAPE,NA
2022-01-01T00:00:00Z,07:43,Saturday,WILSON STATION,TUATC,10,0,S,YU,5896,ATC Operator Related,WILSON,ATC
2022-01-01T00:00:00Z,07:45,Saturday,KENNEDY BD STATION,MUNCA,0,0,NA,BD,0,NA,KENNEDY,NA
2022-01-01T00:00:00Z,07:54,Saturday,FINCH STATION,MUSC,0,0,N,YU,5481,Miscellaneous Speed Control,FINCH,Miscellaneous
2022-01-01T00:00:00Z,08:00,Saturday,YONGE BD STATION,MUNCA,0,0,NA,BD,0,NA,YONGE,NA
2022-01-01T00:00:00Z,08:00,Saturday,ST ANDREW STATION,MUNCA,0,0,NA,YU,0,NA,ST ANDREW,NA
2022-01-01T00:00:00Z,08:00,Saturday,MAIN STREET STATION,MUNCA,0,0,NA,BD,0,NA,MAIN,NA
2022-01-01T00:00:00Z,08:00,Saturday,HIGH PARK STATION,MUNCA,0,0,NA,BD,0,NA,HIGH,NA
2022-01-01T00:00:00Z,08:12,Saturday,FINCH STATION,TUNOA,6,12,S,YU,0,No Operator Immediately Available,FINCH,No Operator
2022-01-01T00:00:00Z,08:28,Saturday,GREENWOOD STATION,TUO,5,10,E,BD,5091,Transportation Department - Other,GREENWOOD,Transportation
2022-01-01T00:00:00Z,08:36,Saturday,COXWELL STATION,MUSC,0,0,W,BD,5328,Miscellaneous Speed Control,COXWELL,Miscellaneous
2022-01-01T00:00:00Z,09:01,Saturday,WELLESLEY STATION,SUO,0,0,NA,YU,0,Passenger Other,WELLESLEY,Passenger
2022-01-01T00:00:00Z,09:10,Saturday,SHEPPARD WEST STATION,PUOPO,0,0,S,YU,5746,OPTO (COMMS) Train Door Monitoring,SHEPPARD,OPTO
2022-01-01T00:00:00Z,09:12,Saturday,FINCH STATION,MUSC,0,0,S,YU,5931,Miscellaneous Speed Control,FINCH,Miscellaneous
2022-01-01T00:00:00Z,09:16,Saturday,BLOOR STATION,MUIS,0,0,N,YU,0,Injured or ill Customer (In Station) - Transported,BLOOR,Injured
2022-01-01T00:00:00Z,09:44,Saturday,VAUGHAN MC STATION,MUIRS,0,0,NA,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused,VAUGHAN,Injured
2022-01-01T00:00:00Z,09:45,Saturday,KENNEDY BD STATION,TUO,5,10,W,BD,5153,Transportation Department - Other,KENNEDY,Transportation
2022-01-01T00:00:00Z,09:51,Saturday,FINCH STATION,TUNOA,6,12,S,YU,0,No Operator Immediately Available,FINCH,No Operator
2022-01-01T00:00:00Z,11:08,Saturday,UNION STATION,MUIE,0,0,NA,YU,0,Injured Employee,UNION,Injured
2022-01-01T00:00:00Z,11:17,Saturday,ST GEORGE YUS STATION,TUO,5,10,S,YU,5936,Transportation Department - Other,ST GEORGE,Transportation
2022-01-01T00:00:00Z,12:01,Saturday,DAVISVILLE STATION,SUDP,3,8,S,YU,5981,Disorderly Patron,DAVISVILLE,Disorderly
2022-01-01T00:00:00Z,12:14,Saturday,RUNNYMEDE STATION,SUUT,20,25,W,BD,6263,Unauthorized at Track Level,RUNNYMEDE,Unauthorized
2022-01-01T00:00:00Z,14:14,Saturday,ROSEDALE STATION,SUUT,0,0,S,YU,5471,Unauthorized at Track Level,ROSEDALE,Unauthorized
2022-01-01T00:00:00Z,17:42,Saturday,ISLINGTON STATION,MUIRS,0,0,E,BD,0,Injured or ill Customer (In Station) - Medical Aid Refused,ISLINGTON,Injured
2022-01-01T00:00:00Z,18:12,Saturday,ST GEORGE YUS STATION,MUSAN,7,12,S,YU,5666,Unsanitary Vehicle,ST GEORGE,Unsanitary
2022-01-01T00:00:00Z,18:20,Saturday,EGLINTON STATION,MUATC,3,10,S,YU,5481,ATC Project,EGLINTON,ATC
2022-01-01T00:00:00Z,18:50,Saturday,SHERBOURNE STATION,MUDD,12,16,W,BD,5032,Door Problems - Debris Related,SHERBOURNE,Door
2022-01-01T00:00:00Z,18:59,Saturday,EGLINTON STATION,MUATC,3,10,S,YU,5906,ATC Project,EGLINTON,ATC
2022-01-01T00:00:00Z,19:11,Saturday,VAUGHAN MC STATION,PUOPO,0,0,S,YU,5761,OPTO (COMMS) Train Door Monitoring,VAUGHAN,OPTO
2022-01-01T00:00:00Z,19:13,Saturday,HIGHWAY 407 STATION,PUOPO,5,12,S,YU,5761,OPTO (COMMS) Train Door Monitoring,HIGHWAY,OPTO
2022-01-01T00:00:00Z,19:22,Saturday,QUEEN STATION,MUATC,0,0,N,YU,6001,ATC Project,QUEEN,ATC
2022-01-01T00:00:00Z,21:51,Saturday,KIPLING STATION,MUD,7,14,E,BD,5201,Door Problems - Passenger Related,KIPLING,Door
2022-01-01T00:00:00Z,21:55,Saturday,BLOOR STATION,MUPR1,7,14,N,YU,6116,Priority One - Train in Contact With Person,BLOOR,Priority
2022-01-01T00:00:00Z,22:33,Saturday,BLOOR STATION,MUIS,0,0,N,YU,0,Injured or ill Customer (In Station) - Transported,BLOOR,Injured
2022-01-01T00:00:00Z,22:39,Saturday,QUEEN STATION,MUIRS,0,0,S,YU,5981,Injured or ill Customer (In Station) - Medical Aid Refused,QUEEN,Injured
2022-01-01T00:00:00Z,22:43,Saturday,SHEPPARD WEST STATION,MUIS,0,0,NA,YU,0,Injured or ill Customer (In Station) - Transported,SHEPPARD,Injured
2022-01-01T00:00:00Z,22:56,Saturday,UNION STATION,MUIS,0,0,N,YU,0,Injured or ill Customer (In Station) - Transported,UNION,Injured
2022-01-01T00:00:00Z,23:18,Saturday,BLOOR STATION,EUPI,4,8,S,YU,5661,Propulsion System,BLOOR,Propulsion
2022-01-01T00:00:00Z,23:37,Saturday,KENNEDY BD STATION,SUDP,7,14,W,BD,5032,Disorderly Patron,KENNEDY,Disorderly
2022-01-01T00:00:00Z,23:45,Saturday,ST GEORGE BD STATION,SUDP,0,0,W,BD,5181,Disorderly Patron,ST GEORGE,Disorderly
2022-01-01T00:00:00Z,23:46,Saturday,WELLESLEY STATION,MUIS,0,0,NA,YU,0,Injured or ill Customer (In Station) - Transported,WELLESLEY,Injured
2022-01-01T00:00:00Z,23:58,Saturday,CHRISTIE STATION,TUMVS,0,0,E,BD,5045,Operator Violated Signal,CHRISTIE,Operator Violated
2022-01-01T00:00:00Z,01:02,Saturday,DAVISVILLE STATION,MUO,0,0,NA,YU,0,Miscellaneous Other,DAVISVILLE,Miscellaneous
2022-01-01T00:00:00Z,01:50,Saturday,WILSON STATION,MUI,0,0,S,YU,5746,Injured or ill Customer (On Train) - Transported,WILSON,Injured
2022-01-01T00:00:00Z,01:56,Saturday,FINCH STATION,SUDP,0,0,NA,YU,0,Disorderly Patron,FINCH,Disorderly
2022-01-01T00:00:00Z,17:12,Saturday,BESSARION STATION,MUSC,0,0,E,SHP,6141,Miscellaneous Speed Control,BESSARION,Miscellaneous
2022-01-02T00:00:00Z,21:20,Sunday,MCCOWAN STATION,TRNOA,6,12,S,SRT,3018,No Operator Immediately Available,MCCOWAN,No Operator
2022-01-02T00:00:00Z,02:02,Sunday,ST CLAIR WEST STATION,SUAE,0,0,S,YU,0,Assault / Employee Involved,ST CLAIR,Assault
2022-01-02T00:00:00Z,02:39,Sunday,KIPLING STATION,MUIS,0,0,NA,BD,0,Injured or ill Customer (In Station) - Transported,KIPLING,Injured
2022-01-02T00:00:00Z,21:29,Sunday,LAWRENCE EAST STATION,TRO,6,12,N,SRT,3009,Transportation Department - Other,LAWRENCE,Transportation
2022-01-02T00:00:00Z,22:00,Sunday,KENNEDY SRT STATION TO,MRO,0,0,NA,SRT,0,Miscellaneous Other,KENNEDY,Miscellaneous
2022-01-02T00:00:00Z,08:10,Sunday,YORKDALE STATION,PUOPO,0,0,S,YU,5741,OPTO (COMMS) Train Door Monitoring,YORKDALE,OPTO
2022-01-02T00:00:00Z,08:14,Sunday,SHEPPARD WEST STATION,PUOPO,6,12,N,YU,5626,OPTO (COMMS) Train Door Monitoring,SHEPPARD,OPTO
